positions_X,positions_y
0.741,3.1583
0.741,3.1565
0.7412,3.1282
0.7413,3.065
0.7399,2.9674
0.7356,2.8438
0.726,2.6901
0.7117,2.5321
0.6934,2.3757
0.6714,2.2216
0.6474,2.076
0.6206,1.9309
0.59,1.7804
0.5601,1.644
0.5248,1.4926
0.4882,1.3435
0.4474,1.1852
0.4096,1.0446
0.3657,0.8871
0.331,0.7664
0.2825,0.6019
0.9807,1.0073
1.0038,0.9203
1.0438,0.7644
1.0855,0.5779
1.1102,0.4376
1.1354,0.2403
1.1488,0.0655
1.1542,-0.0877
1.1525,-0.2928
1.144,-0.4599
1.1291,-0.6325
1.1109,-0.7849
1.0869,-0.9465
1.0607,-1.0956
1.0341,-1.2447
1.0095,-1.4001
0.9903,-1.5423
0.9724,-1.7047
0.9599,-1.8536
0.9507,-2.0147
0.9485,-2.1616
1.8182,-1.2581
1.851,-1.3251
1.9299,-1.4741
2.0357,-1.6593
2.1642,-1.8745
2.2898,-2.076
2.4374,-2.3037
2.5598,-2.4857
2.715,-2.7081
2.8446,-2.8875
3.0095,-3.1077
3.1475,-3.2858
3.3247,-3.5066
3.4867,-3.7012
3.6559,-3.8975
3.8082,-4.0689
3.9819,-4.2585
4.1458,-4.4328
4.3283,-4.6224
4.5011,-4.7993
4.6806,-4.9835
4.8528,-5.1712
4.9372,-5.2746
5.0241,-5.4136
5.082,-5.5449
5.1241,-5.6867
5.1485,-5.8368
5.1535,-5.991
5.1377,-6.1502
5.0985,-6.3132
5.0426,-6.457
4.9739,-6.5843
4.8504,-6.7494
4.6511,-6.928
4.4717,-7.0335
4.2581,-7.1113
4.076,-7.1439
3.8352,-7.1437
3.7151,-7.1253
3.5139,-7.065
3.3166,-6.9644
3.1568,-6.8434
2.9935,-6.6638
2.9333,-6.5778
2.8765,-6.4975
2.7967,-6.3959
2.7402,-6.333
2.6776,-6.2713
2.6128,-6.2155
2.5414,-6.162
2.4346,-6.0957
2.2623,-6.0176
2.1273,-5.9774
1.9193,-5.9475
1.6902,-5.9568
1.4982,-5.9996
1.2606,-6.0752
1.0707,-6.1104
0.8411,-6.1076
0.6356,-6.0657
0.5153,-6.026
1.7977,-5.8479
1.702,-5.8754
1.5687,-5.931
1.393,-6.0616
1.2041,-6.2249
1.0205,-6.338
0.7836,-6.422
0.6427,-6.4465
0.4532,-6.4661
1.8095,-5.8447
1.7866,-5.8504
1.703,-5.8759
1.5672,-5.9494
1.4106,-6.0997
1.2626,-6.2662
1.0676,-6.4262
0.8765,-6.5245
0.6756,-6.5852
0.4463,-6.6288
1.7925,-5.8488
1.7084,-5.8728
1.5644,-5.9328
1.4022,-6.0545
1.2192,-6.2158
1.0379,-6.333
0.7954,-6.4238
0.5688,-6.458
1.814,-5.844
1.7545,-5.8593
1.7059,-5.8736
1.5781,-5.9304
1.4206,-6.0561
1.2658,-6.2075
1.0731,-6.3531
0.8787,-6.4441
0.6871,-6.4952
0.548,-6.5154
1.8141,-5.8436
1.7657,-5.8559
1.646,-5.8975
1.5067,-5.9888
1.3498,-6.1735
1.2007,-6.3715
1.0312,-6.528
0.8663,-6.6301
0.6381,-6.718
0.3928,-6.7811
1.7781,-5.8527
1.7282,-5.8668
1.6114,-5.9106
1.4546,-6.0228
1.3268,-6.1885
1.1718,-6.4207
1.0034,-6.5921
0.8044,-6.7227
0.588,-6.8093
1.8147,-5.8437
1.7579,-5.8584
1.6615,-5.8907
1.4969,-5.9961
1.3693,-6.1465
1.2159,-6.3637
1.0558,-6.5275
0.8282,-6.6736
0.6341,-6.7483
0.5306,-6.7751
1.811,-5.8444
1.7577,-5.8583
1.6398,-5.9002
1.4848,-6.0078
1.3544,-6.1707
1.2271,-6.3587
1.0432,-6.5528
0.8718,-6.6694
0.6545,-6.7634
0.4234,-6.8328
1.7849,-5.8508
1.6652,-5.8877
1.5111,-5.9602
1.3414,-6.1057
1.1711,-6.2754
0.9664,-6.419
0.7538,-6.5077
0.5161,-6.5756
1.8109,-5.8442
1.7452,-5.8616
1.6226,-5.9058
1.4661,-6.0156
1.342,-6.1716
1.1978,-6.3857
1.0541,-6.5415
0.8406,-6.6911
0.6389,-6.7778
0.4193,-6.8431
1.7788,-5.8525
1.6826,-5.8816
1.5206,-5.9558
1.368,-6.0825
1.2082,-6.2406
1.0264,-6.3779
0.7998,-6.4814
0.5975,-6.5295
0.4795,-6.5433
1.8041,-5.8463
1.7375,-5.8641
1.5972,-5.9191
1.4495,-6.0336
1.3107,-6.2336
1.181,-6.4471
1.0222,-6.6248
0.8527,-6.7509
0.6285,-6.8577
0.4034,-6.9327
1.8028,-5.8464
1.7322,-5.8658
1.6106,-5.9133
1.4712,-6.0144
positions_X,positions_y
0.7405,3.1583
0.7405,3.1583
0.7405,3.1579
0.7405,3.1381
0.7388,3.0872
0.7319,3.0079
0.7144,2.8996
0.6814,2.7764
0.6238,2.6357
0.5077,2.453
0.323,2.252
0.1461,2.1041
0.8001,3.7386
0.7977,3.6731
0.7885,3.5771
0.7637,3.4558
0.7227,3.3303
0.6299,3.1548
0.4554,2.9677
0.2773,2.8525
0.8005,3.7631
0.799,3.7312
0.7881,3.6527
0.768,3.5697
0.7112,3.4152
0.6508,3.3065
0.5104,3.1451
0.3167,3.0184
0.8005,3.7674
0.7973,3.7118
0.7841,3.6348
0.7553,3.5327
0.7068,3.4092
0.6058,3.2428
0.4269,3.0791
0.2615,3.0069
0.8006,3.7605
0.7968,3.7059
0.7832,3.6309
0.7542,3.5329
0.7032,3.411
0.5864,3.2366
0.3907,3.0718
0.1997,2.9835
0.7988,3.7259
0.7911,3.6617
0.7681,3.5704
0.7106,3.439
0.5925,3.2629
0.3861,3.0818
0.1769,2.9747
0.7995,3.738
0.7921,3.6732
0.7692,3.5829
0.722,3.4687
0.6125,3.2926
0.4412,3.1391
0.2675,3.0644
0.8005,3.761
0.7953,3.6952
0.7793,3.616
0.7423,3.5102
0.6543,3.3387
0.4911,3.1497
0.298,3.0176
0.8005,3.7644
0.7983,3.7216
0.7878,3.6514
0.7612,3.5458
0.7128,3.4151
0.6454,3.29
0.5287,3.1517
0.3431,3.0344
0.1543,2.9769
0.8015,3.7251
0.8169,3.6282
0.856,3.5073
0.9092,3.3704
0.9541,3.2402
0.9994,3.0819
1.0327,2.9366
1.0589,2.7859
1.0764,2.642
1.0868,2.4757
1.0869,2.323
1.0767,2.1673
1.0535,2.014
1.0179,1.874
0.9675,1.7371
0.8663,1.5556
0.6812,1.3711
0.5194,1.2895
0.3251,1.2604
0.2504,1.2667
0.8005,3.7499
0.7946,3.6873
0.7765,3.605
0.7059,3.4282
0.6197,3.2876
0.4744,3.1336
0.2627,3.011
0.8005,3.7613
0.7977,3.7162
0.7804,3.6166
0.7462,3.4987
0.6852,3.3536
0.6172,3.2412
0.4125,3.0359
0.1766,2.9017
0.8,3.7464
0.7945,3.6884
0.7673,3.5775
0.6984,3.4218
0.5958,3.2688
0.346,3.0597
0.1771,2.9783
0.7998,3.7437
0.7907,3.6653
0.7534,3.5418
0.6707,3.3866
0.4483,3.1502
0.2956,3.075
0.8,3.7697
0.7987,3.7262
0.7844,3.6347
0.7379,3.4937
0.6562,3.3315
0.5436,3.1875
0.4048,3.0778
0.2343,2.9935
0.8003,3.7602
0.8025,3.6965
0.8136,3.5807
0.8245,3.4673
0.83,3.4098
0.8304,3.4048
0.8304,3.4051
0.8303,3.4052
0.8303,3.4053
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8278,3.4317
0.8256,3.4544
0.8281,3.4282
0.8303,3.4058
0.8303,3.4058
0.8328,3.3796
0.8403,3.3013
0.8528,3.1722
0.8649,3.0464
0.8767,2.9243
0.8933,2.7526
0.9145,2.5328
0.9351,2.3185
0.9502,2.1629
0.9597,2.0642
0.9638,2.0219
0.9637,2.0222
0.9637,2.0225
0.9637,2.0227
0.9637,2.0229
0.9661,1.997
0.9701,1.9197
0.9665,1.7912
0.9427,1.6141
0.8908,1.4322
0.8057,1.2686
0.6874,1.1317
0.5395,1.0185
0.3713,0.9363
0.9824,1.0016
0.9962,0.9354
1.0035,0.8211
0.9775,0.6687
0.9068,0.5204
0.7963,0.3965
0.6553,0.3084
0.4952,0.2634
0.9829,0.9992
0.9946,0.9312
0.9962,0.8129
0.9615,0.6608
0.882,0.516
0.7627,0.3723
0.6436,0.2156
0.5461,0.0465
0.4755,-0.1339
0.4341,-0.3225
0.423,-0.5152
0.4428,-0.707
0.4929,-0.8932
0.572,-1.069
0.6783,-1.2298
0.8088,-1.3716
0.9604,-1.4908
